form	lemma	POS	morph
བཟའ་	བཟའ་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
ཀུན་བཟང་	ཀུན་བཟང་	ADJ
བདེ་སྐྱོང་	བདེ་སྐྱོང་	OTHER
དབང་	དབང་	NOUN
མོ་	གོ་	PART
བདེ་བ་	བདེ་བ་	VERB
འི་	གི་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
གསུང་འབུམ་	གསུང་འབུམ་	NOUN
ལེགས་བཤད་	ལེགས་བཤད་	NOUN
ནོར་བུ་	ནོར་བུ་	NOUN
འི་	གི་	PART
མེ་ལོང་	མེ་ལོང་	NOUN
བཞུགས་	བཞུགས་	VERB
།		PUNCT
ཅི་	ཅི་	NO_POS
མགོ་ལོག་	མགོ་ལོག་	OTHER
ཁུ་	ཁུ་	NOUN
གནའ་	གནའ་	NO_POS
རྩོམ་	རྩོམ་	VERB
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
གཞུང་ལས་	གཞུང་ལས་	NO_POS
ཁང་	ཁང་	NOUN
གིས་	གིས་	PART
འཚོ་པ་	འཚོ་པ་	VERB
སྡུད་	སྡུད་	VERB
དག་	དག་	DET
སྒྲིག་	སྒྲིག་	VERB
བྱ་	བྱ་	VERB
། ་ ་ ་		PUNCT
ཛིཁྲོནདབེཟུན་		NON_WORD
ཚོག་པ་	ཚོག་པ་	NON_WORD
།		PUNCT
		
ཁྲོན་	ཁྲོན་	NO_POS
མི་	མི་	PART
རིག་	རིག་	VERB
དབེ་		NON_WORD
སྐྲུན་	སྐྲུན་	NO_POS
ཁང་	ཁང་	NOUN
། ་		PUNCT
ཆོ་	ཆོ་	OTHER
དཀར་ཆག་	དཀར་ཆག་	NOUN
མ་ཕྱི་	མ་ཕྱི་	NOUN
འི་	གི་	PART
དཀར་ཆག་	དཀར་ཆག་	NOUN
		
སྙན་	སྙན་	NOUN
རྒྱུད་	རྒྱུད་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ཕག་མོ་	ཕག་མོ་	PROPN
འི་	གི་	PART
ཟབ་	ཟབ་	VERB
རྒྱུད་	རྒྱུད་	NOUN
།་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་		PUNCT
		
ཕག་མོ་	ཕག་མོ་	PROPN
འི་	གི་	PART
རྫོགས་རིམ་	རྫོགས་རིམ་	NOUN
གསང་བ་	གསང་བ་	VERB
ཐུགས་	ཐུགས་	NOUN
ཀྱི་	གི་	PART
རྒྱ་	རྒྱ་	NOUN
ཅན་	ཅན་	PART
།་་་་་་་་་་་་་་་་་་་་་		PUNCT
		
ཡང་གསང་	ཡང་གསང་	OTHER
བླ་མེད་	བླ་མེད་	ADJ
སྔགས་	སྔགས་	NOUN
ཀྱི་	གི་	PART
ལམ་མཆོག་	ལམ་མཆོག་	OTHER
		
སྦྱོར་སྒྲོལ་	སྦྱོར་སྒྲོལ་	NOUN
དགོངས་པ་	དགོངས་པ་	VERB
འི་	གི་	PART
ཟབ་	ཟབ་	VERB
གནད་	གནད་	NOUN
། ་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་		PUNCT
		
རྫོགས་ཆེན་	རྫོགས་ཆེན་	NOUN
མཐའ་གྲོལ་	མཐའ་གྲོལ་	NO_POS
ཀློང་ཡངས་	ཀློང་ཡངས་	OTHER
ཀྱི་	གི་	PART
དགོངས་པ་	དགོངས་པ་	VERB
འོད་གསལ་	འོད་གསལ་	NOUN
སྒྲོན་མེ་	སྒྲོན་མེ་	NOUN
། ་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་		PUNCT
		
མྱུར་ལམ་	མྱུར་ལམ་	OTHER
ཐོད་རྒལ་	ཐོད་རྒལ་	OTHER
གྱི་	གི་	PART
གདམས་པ་	གདམས་པ་	VERB
འཇའ་ལུས་	འཇའ་ལུས་	OTHER
མངོན་	མངོན་	VERB
འགྲུབ་	འགྲུབ་	VERB
།		PUNCT
		
འོད་གསལ་	འོད་གསལ་	NOUN
དོན་	དོན་	NOUN
གྱི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
ནམ་མཁའ་	ནམ་མཁའ་	NOUN
ཀློང་ཡངས་	ཀློང་ཡངས་	OTHER
།་་་་་་་་་་་་་་་་་་		PUNCT
		
ཐོད་རྒལ་	ཐོད་རྒལ་	OTHER
འཇའ་ལུས་	འཇའ་ལུས་	OTHER
མངོན་	མངོན་	VERB
འགྲུབ་	འགྲུབ་	VERB
ཀྱི་	གི་	PART
པྲ་	པྲ་	NOUN
ཁྲིད་	ཁྲིད་	VERB
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
མཉམ་	མཉམ་	VERB
སྦྱོར་	སྦྱོར་	VERB
།་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་		PUNCT
		
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འི་	གི་	PART
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
རྨོངས་པ་	རྨོངས་པ་	VERB
ཀུན་	ཀུན་	DET
སེལ་	སེལ་	VERB
།་་་་་་་་་		PUNCT
		
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
བསྡུས་པ་	བསྡུས་པ་	VERB
།་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་		PUNCT
		
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འི་	གི་	PART
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
ཆ་ལག་	ཆ་ལག་	NOUN
སྔོན་འགྲོ་	སྔོན་འགྲོ་	NOUN
འི་	གི་	PART
ལས་རིམ་	ལས་རིམ་	OTHER
		
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འི་	གི་	PART
བླ་	བླ་	NOUN
རྡོ་	རྡོ་	NOUN
སྲོག་	སྲོག་	NOUN
གི་	གི་	PART
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
བུམ་	བུམ་	NOUN
བཟང་	བཟང་	VERB
		
ཌཱ་	ཌཱ་	NO_POS
ཀྐི་		NON_WORD
མཚོ་	མཚོ་	NOUN
རྒྱལ་	རྒྱལ་	VERB
གྱི་	གི་	PART
བླ་	བླ་	NOUN
རྡོ་	རྡོ་	NOUN
གསང་བ་	གསང་བ་	VERB
འི་	གི་	PART
རྒྱ་	རྒྱ་	NOUN
ཅན་	ཅན་	PART
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
གཏེར་	གཏེར་	NOUN
བུམ་	བུམ་	NOUN
། ་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་		PUNCT
		
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
དཔལ་	དཔལ་	OTHER
སྟེར་	སྟེར་	VERB
།་་་་་་་་་		PUNCT
		
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འི་	གི་	PART
གསང་	གསང་	VERB
སྒྲུབ་	སྒྲུབ་	VERB
རྒྱུན་	རྒྱུན་	NOUN
འཁྱེར་	འཁྱེར་	NO_POS
སྙིང་པོ་	སྙིང་པོ་	NOUN
། ་་་་་་་་་་་་		PUNCT
		
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འི་	གི་	PART
ཚོགས་མཆོད་	ཚོགས་མཆོད་	NOUN
ཀུན་བཟང་	ཀུན་བཟང་	ADJ
དགྱེས་	དགྱེས་	NO_POS
སྐོང་	སྐོང་	NO_POS
།་་་་་་་་་་་་་་་		PUNCT
		
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འི་	གི་	PART
མེ་	མེ་	NOUN
མཆོད་	མཆོད་	VERB
གསང་བ་	གསང་བ་	VERB
འི་	གི་	PART
རྒྱ་	རྒྱ་	NOUN
ཅན་	ཅན་	PART
། ་་་་་་་་་་་་་་་་་་་་་་་་		PUNCT
		
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
མྱུར་	མྱུར་	VERB
འཐོབ་	འཐོབ་	VERB
།་་་་་་་་་		PUNCT
		
ཌཱ་	ཌཱ་	NO_POS
ཀྐིའི་		NON_WORD
ཚོགས་མཆོད་	ཚོགས་མཆོད་	NOUN
རྒྱུན་	རྒྱུན་	NOUN
འཁྱེར་	འཁྱེར་	NO_POS
སྙིང་པོ་	སྙིང་པོ་	NOUN
། ་་་་་་་་་་་་་་་་་་་་་་་་་་་		PUNCT
		
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
ཡང་	ཀྱང་	PART
བཅུད་	བཅུད་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
། ་་་་་་་་་་་་		PUNCT
		
བདེ་ཆེན་	བདེ་ཆེན་	NOUN
མཚོ་	མཚོ་	NOUN
རྒྱལ་མ་	རྒྱལ་མ་	OTHER
འི་	གི་	PART
གསང་དབང་	གསང་དབང་	NO_POS
སྐལ་ལྡན་	སྐལ་ལྡན་	ADJ
རྗེས་འཛིན་	རྗེས་འཛིན་	NOUN
།		PUNCT
		
གསང་མཛོད་	གསང་མཛོད་	OTHER
ཀྱི་	གི་	PART
ཆ་ལག་	ཆ་ལག་	NOUN
གནད་	གནད་	NOUN
ཀྱི་	གི་	PART
ཡིག་ཆུང་	ཡིག་ཆུང་	OTHER
བསྡུས་པ་	བསྡུས་པ་	VERB
། ་་་་་་་་་་་་		PUNCT
		
ཆོས་ཉིད་	ཆོས་ཉིད་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འི་	གི་	PART
གསང་མཛོད་	གསང་མཛོད་	OTHER
ཀྱི་	གི་	PART
ཆ་ལག་	ཆ་ལག་	NOUN
ཆོ་ག་	ཆོ་ག་	NOUN
སྤྱི་	སྤྱི་	DET
འི་	གི་	PART
མཚམས་	མཚམས་	NOUN
སྦྱོར་	སྦྱོར་	VERB
། ་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་		PUNCT
		
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
སྤྱི་	སྤྱི་	DET
འི་	གི་	PART
དཀ་	དཀའ་	VERB
ར་	ལ་	PART
གཏོ་	གཏོ་	VERB
འདོད་	འདོད་	VERB
རྒྱ་	རྒྱ་	NOUN
ཀུན་འབྱུང་	ཀུན་འབྱུང་	NOUN
། ་་་་་་་་་་་་་་་		PUNCT
		
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
སྤྱི་	སྤྱི་	DET
གཅེ་	གཅེ་	VERB
མཆོད་རྫས་	མཆོད་རྫས་	NOUN
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
། ་་་་་་་་་་་་་་་་་་་་་་་་		PUNCT
		
གནམ་	གནམ་	NOUN
ཕུད་	ཕུད་	NO_POS
བདུད་རྩི་	བདུད་རྩི་	NOUN
ཀུན་ཁྱབ་	ཀུན་ཁྱབ་	OTHER
། ་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་		PUNCT
		
ཆོས་ཉིད་	ཆོས་ཉིད་	NOUN
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
འི་	གི་	PART
གསང་མཛོད་	གསང་མཛོད་	OTHER
ཀྱི་	གི་	PART
ཆ་ལག་	ཆ་ལག་	NOUN
ས་ཆོག་	ས་ཆོག་	NOUN
སོགས་	སོགས་	DET
ཀྱི་	གི་	PART
སྔོན་འགྲོ་	སྔོན་འགྲོ་	NOUN
། ་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་		PUNCT
		
རྣམ་རྒྱལ་	རྣམ་རྒྱལ་	NOUN
བུམ་པ་	བུམ་པ་	NOUN
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
བདུད་རྩི་	བདུད་རྩི་	NOUN
འི་	གི་	PART
ཟིལ་	ཟིལ་	NOUN
མ་	མ་	PART
		
བདག་དབང་	བདག་དབང་	OTHER
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སྒོ་	སྒོ་	NOUN
འབྱེད་	འབྱེད་	VERB
། ་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་		PUNCT
		
སྔོན་འགྲོ་	སྔོན་འགྲོ་	NOUN
འི་	གི་	PART
སྤྱི་	སྤྱི་	DET
གཅེ་	གཅེ་	VERB
གབ་པ་	གབ་པ་	VERB
མངོན་	མངོན་	VERB
ཕྱུངས་		NON_WORD
། ་་་་་་་་་་་་་་་་་་་་་་་་		PUNCT
		
ཟབ་	ཟབ་	VERB
ཆོ་	ཆོ་	NOUN
སྤྱི་	སྤྱི་	DET
གཅེ་	གཅེ་	VERB
བསྙེན་སྒྲུབ་	བསྙེན་སྒྲུབ་	NOUN
ཡན་ལག་	ཡན་ལག་	NOUN
བཞི་	བཞི་	NUM
འི་	གི་	PART
དམིགས་	དམིགས་	VERB
རིམ་	རིམ་	NOUN
།		PUNCT
		
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
སྤྱི་	སྤྱི་	DET
འི་	གི་	PART
དབང་	དབང་	NOUN
བཞི་	བཞི་	NUM
རྒྱལ་	རྒྱལ་	VERB
ཐབས་	ཐབས་	NOUN
སྤྱི་བླུགས་	སྤྱི་བླུགས་	NO_POS
མཛེས་པ་	མཛེས་པ་	VERB
འི་	གི་	PART
དོ་ཤལ་	དོ་ཤལ་	OTHER
། ་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་		PUNCT
		
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
སྤྱི་	སྤྱི་	DET
འི་	གི་	PART
མེ་	མེ་	NOUN
མཆོད་	མཆོད་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
བཞི་	བཞི་	NUM
ལྷུན་	ལྷུན་	NOUN
འགྲུབ་	འགྲུབ་	VERB
རིན་ཆེན་	རིན་ཆེན་	OTHER
བང་མཛོད་	བང་མཛོད་	NOUN
། ་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་		PUNCT
		
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
སྤྱི་	སྤྱི་	DET
གཅེ་	གཅེ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
བཞི་	བཞི་	NUM
འི་	གི་	PART
ཐིག་	ཐིག་	NOUN
ཡིག་	ཡིག་	NOUN
ཨ་	ཨ་	X
དཪྴ་		NON_WORD
། ་་་་་་་་་་་་་་་་་་		PUNCT
		
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
སྤྱི་	སྤྱི་	DET
གཅེ་	གཅེ་	VERB
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
ལེན་	ལེན་	VERB
ཆོག་	ཆོག་	VERB
སོགས་	སོགས་	DET
། ་་་་་་་་་་་་་་་་་་		PUNCT
		
འཇམ་དཔལ་	འཇམ་དཔལ་	PROPN
དབྱངས་	དབྱངས་	NOUN
ཀྱི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
ཤེས་རབ་	ཤེས་རབ་	NOUN
ཉི་མ་	ཉི་མ་	NOUN
སོགས་	སོགས་	DET
།		PUNCT
		
རིགས་	རིགས་	NOUN
གཅིག་	གཅིག་	NUM
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
སེམས་དཔ་	སེམས་དཔའ་	NOUN
འི་	གི་	PART
བསྒོམ་	བསྒོམ་	VERB
བཟླས་	བཟླས་	NO_POS
བསྡུས་པ་	བསྡུས་པ་	VERB
།་་་་་་་་་		PUNCT
		
གུ་རུ་	གུ་རུ་	PROPN
འི་	གི་	PART
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
བུམ་	བུམ་	NOUN
བཟང་	བཟང་	VERB
།་་་་་་་་་་་་་་་་་་་་་་་་་་་་་་		PUNCT
		
ཁྲོ་	ཁྲོ་	VERB
ལོད་	ལོད་	NO_POS
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
མཆོག་	མཆོག་	ADJ
སྟེར་	སྟེར་	VERB
སོགས་	སོགས་	DET
། ་་་་་་་་་་་་་་་		PUNCT
		
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
ལམ་འཁྱེར་	ལམ་འཁྱེར་	OTHER
ཀུ་སཱ་ལི་	ཀུ་སཱ་ལི་	NO_POS
འི་	གི་	PART
